SampID,Cruise,Compound,Fragment_mz,Experiment,Treatment,Replicate,Peak_Area
230605_Smp_TN397_UKH4_5nM_A,TN397,D3-Homarine,78.0399,UKH4,5nM,A,118959280
230605_Smp_TN397_UKH4_5nM_B,TN397,D3-Homarine,78.0399,UKH4,5nM,B,107138968
230605_Smp_TN397_UKH4_5nM_C,TN397,D3-Homarine,78.0399,UKH4,5nM,C,103408928
230605_Smp_TN397_UKH4_10nM_A,TN397,D3-Homarine,78.0399,UKH4,10nM,A,230152704
230605_Smp_TN397_UKH4_10nM_B,TN397,D3-Homarine,78.0399,UKH4,10nM,B,172826272
230605_Smp_TN397_UKH4_10nM_C,TN397,D3-Homarine,78.0399,UKH4,10nM,C,220847072
230605_Smp_TN397_UKH4_50nM_A,TN397,D3-Homarine,78.0399,UKH4,50nM,A,529117120
230605_Smp_TN397_UKH4_50nM_B,TN397,D3-Homarine,78.0399,UKH4,50nM,B,549230464
230605_Smp_TN397_UKH4_50nM_C,TN397,D3-Homarine,78.0399,UKH4,50nM,C,294324160
230605_Smp_TN397_UKH4_200nM_A,TN397,D3-Homarine,78.0399,UKH4,200nM,A,781823616
230605_Smp_TN397_UKH4_200nM_B,TN397,D3-Homarine,78.0399,UKH4,200nM,B,759288896
230605_Smp_TN397_UKH4_200nM_C,TN397,D3-Homarine,78.0399,UKH4,200nM,C,980167424
230605_Smp_TN397_UKH4_500nM_A,TN397,D3-Homarine,78.0399,UKH4,500nM,A,1259190400
230605_Smp_TN397_UKH4_500nM_B,TN397,D3-Homarine,78.0399,UKH4,500nM,B,1477077504
230605_Smp_TN397_UKH4_500nM_C,TN397,D3-Homarine,78.0399,UKH4,500nM,C,1663917568
230605_Smp_TN397_UKH4_1500nM_A,TN397,D3-Homarine,78.0399,UKH4,1500nM,A,2733543680
230605_Smp_TN397_UKH4_1500nM_B,TN397,D3-Homarine,78.0399,UKH4,1500nM,B,2551390208
230605_Smp_TN397_UKH4_1500nM_C,TN397,D3-Homarine,78.0399,UKH4,1500nM,C,2524300288
230605_Smp_TN397_UKH4_0nM_A,TN397,D3-Homarine,78.0399,UKH4,OnM,A,5426447
230605_Smp_TN397_UKH4_0nM_B,TN397,D3-Homarine,78.0399,UKH4,OnM,B,4875225
230605_Smp_TN397_UKH4_0nM_C,TN397,D3-Homarine,78.0399,UKH4,OnM,C,5781152
230607_Smp_TN397_UKH5_2nM_A,TN397,D3-Homarine,97.0954,UKH5,2nM,A,54340404
230607_Smp_TN397_UKH5_2nM_B,TN397,D3-Homarine,97.0954,UKH5,2nM,B,88689656
230607_Smp_TN397_UKH5_2nM_C,TN397,D3-Homarine,97.0954,UKH5,2nM,C,47921752
230607_Smp_TN397_UKH5_5nM_A,TN397,D3-Homarine,97.0954,UKH5,5nM,A,195115760
230607_Smp_TN397_UKH5_5nM_B,TN397,D3-Homarine,97.0954,UKH5,5nM,B,132405120
230607_Smp_TN397_UKH5_5nM_C,TN397,D3-Homarine,97.0954,UKH5,5nM,C,126956888
230607_Smp_TN397_UKH5_10nM_A,TN397,D3-Homarine,97.0954,UKH5,10nM,A,210067440
230607_Smp_TN397_UKH5_10nM_B,TN397,D3-Homarine,97.0954,UKH5,10nM,B,218223664
230607_Smp_TN397_UKH5_10nM_Blk,TN397,D3-Homarine,97.0954,UKH5,10nM,Blk,8187516
230607_Smp_TN397_UKH5_10nM_C,TN397,D3-Homarine,97.0954,UKH5,10nM,C,205189696
230607_Smp_TN397_UKH5_50nM_A,TN397,D3-Homarine,97.0954,UKH5,50nM,A,652767936
230607_Smp_TN397_UKH5_50nM_B,TN397,D3-Homarine,97.0954,UKH5,50nM,B,660384960
230607_Smp_TN397_UKH5_50nM_C,TN397,D3-Homarine,97.0954,UKH5,50nM,C,807148672
230607_Smp_TN397_UKH5_200nM_A,TN397,D3-Homarine,97.0954,UKH5,200nM,A,1592711424
230607_Smp_TN397_UKH5_200nM_B,TN397,D3-Homarine,97.0954,UKH5,200nM,B,1617368064
230607_Smp_TN397_UKH5_200nM_Blk,TN397,D3-Homarine,97.0954,UKH5,200nM,Blk,89468568
230607_Smp_TN397_UKH5_200nM_C,TN397,D3-Homarine,97.0954,UKH5,200nM,C,1500981504
230607_Smp_TN397_UKH5_1000nM_A,TN397,D3-Homarine,97.0954,UKH5,1000nM,A,3320977152
230607_Smp_TN397_UKH5_1000nM_B,TN397,D3-Homarine,97.0954,UKH5,1000nM,B,3447672064
230607_Smp_TN397_UKH5_1000nM_C,TN397,D3-Homarine,97.0954,UKH5,1000nM,C,3437966080
230607_Smp_TN397_UKH5_0nM_A,TN397,D3-Homarine,97.0954,UKH5,OnM,A,4452591
230607_Smp_TN397_UKH5_0nM_B,TN397,D3-Homarine,97.0954,UKH5,OnM,B,5645406
230607_Smp_TN397_UKH5_0nM_C,TN397,D3-Homarine,97.0954,UKH5,OnM,C,4269399
230607_Smp_TN397_UKH5_2nM_A,TN397,D3-Homarine,78.0399,UKH5,2nM,A,87035864
230607_Smp_TN397_UKH5_2nM_B,TN397,D3-Homarine,78.0399,UKH5,2nM,B,142917152
230607_Smp_TN397_UKH5_2nM_C,TN397,D3-Homarine,78.0399,UKH5,2nM,C,78468336
230607_Smp_TN397_UKH5_5nM_A,TN397,D3-Homarine,78.0399,UKH5,5nM,A,314925696
230607_Smp_TN397_UKH5_5nM_B,TN397,D3-Homarine,78.0399,UKH5,5nM,B,214120720
230607_Smp_TN397_UKH5_5nM_C,TN397,D3-Homarine,78.0399,UKH5,5nM,C,204129744
230607_Smp_TN397_UKH5_10nM_A,TN397,D3-Homarine,78.0399,UKH5,10nM,A,337205504
230607_Smp_TN397_UKH5_10nM_B,TN397,D3-Homarine,78.0399,UKH5,10nM,B,351339232
230607_Smp_TN397_UKH5_10nM_Blk,TN397,D3-Homarine,78.0399,UKH5,10nM,Blk,13809895
230607_Smp_TN397_UKH5_10nM_C,TN397,D3-Homarine,78.0399,UKH5,10nM,C,333139520
230607_Smp_TN397_UKH5_50nM_A,TN397,D3-Homarine,78.0399,UKH5,50nM,A,1063806464
230607_Smp_TN397_UKH5_50nM_B,TN397,D3-Homarine,78.0399,UKH5,50nM,B,1070110016
230607_Smp_TN397_UKH5_50nM_C,TN397,D3-Homarine,78.0399,UKH5,50nM,C,1289366656
230607_Smp_TN397_UKH5_200nM_A,TN397,D3-Homarine,78.0399,UKH5,200nM,A,2573938944
230607_Smp_TN397_UKH5_200nM_B,TN397,D3-Homarine,78.0399,UKH5,200nM,B,2611740672
230607_Smp_TN397_UKH5_200nM_Blk,TN397,D3-Homarine,78.0399,UKH5,200nM,Blk,146496672
230607_Smp_TN397_UKH5_200nM_C,TN397,D3-Homarine,78.0399,UKH5,200nM,C,2418186240
230607_Smp_TN397_UKH5_1000nM_A,TN397,D3-Homarine,78.0399,UKH5,1000nM,A,4919056896
230607_Smp_TN397_UKH5_1000nM_B,TN397,D3-Homarine,78.0399,UKH5,1000nM,B,5051148288
230607_Smp_TN397_UKH5_1000nM_C,TN397,D3-Homarine,78.0399,UKH5,1000nM,C,5033154048
230607_Smp_TN397_UKH5_0nM_A,TN397,D3-Homarine,78.0399,UKH5,OnM,A,6224180
230607_Smp_TN397_UKH5_0nM_B,TN397,D3-Homarine,78.0399,UKH5,OnM,B,8266417
230607_Smp_TN397_UKH5_0nM_C,TN397,D3-Homarine,78.0399,UKH5,OnM,C,5886392
230808_Smp_TN397_UKH1_0nM_A,TN397,D3-Homarine,97.0954,UKH1,0nM,A,231636
230808_Smp_TN397_UKH1_0nM_B,TN397,D3-Homarine,97.0954,UKH1,0nM,B,95768
