SampID,Cruise,Compound,Fragment_mz,Experiment,Treatment,Replicate,Peak_Area
230808_Smp_TN397_UKH3_10nM_B,TN397,D3-Homarine,78.0399,UKH3,10nM,B,87244208
230808_Smp_TN397_UKH3_10nM_C,TN397,D3-Homarine,78.0399,UKH3,10nM,C,85929784
230808_Smp_TN397_UKH3_50nM_A,TN397,D3-Homarine,78.0399,UKH3,50nM,A,197082528
230808_Smp_TN397_UKH3_50nM_B,TN397,D3-Homarine,78.0399,UKH3,50nM,B,324306944
230808_Smp_TN397_UKH3_50nM_C,TN397,D3-Homarine,78.0399,UKH3,50nM,C,324934208
230808_Smp_TN397_UKH3_200nM_A,TN397,D3-Homarine,78.0399,UKH3,200nM,A,551232256
230808_Smp_TN397_UKH3_200nM_B,TN397,D3-Homarine,78.0399,UKH3,200nM,B,638406848
230808_Smp_TN397_UKH3_200nM_C,TN397,D3-Homarine,78.0399,UKH3,200nM,C,710963072
230808_Smp_TN397_UKH3_500nM_A,TN397,D3-Homarine,78.0399,UKH3,500nM,A,845375616
230808_Smp_TN397_UKH3_500nM_B,TN397,D3-Homarine,78.0399,UKH3,500nM,B,1145660160
230808_Smp_TN397_UKH3_500nM_C,TN397,D3-Homarine,78.0399,UKH3,500nM,C,815862464
230808_Smp_TN397_UKH3_1500nM_A,TN397,D3-Homarine,78.0399,UKH3,1500nM,A,1618648960
230808_Smp_TN397_UKH3_1500nM_B,TN397,D3-Homarine,78.0399,UKH3,1500nM,B,1721683072
230808_Smp_TN397_UKH3_1500nM_C,TN397,D3-Homarine,78.0399,UKH3,1500nM,C,2444115456
230403_Smp_RC078_UKH1_0nM_A,RC078,D3-Homarine,97.0954,UKH1,0nM,A,7056639
230403_Smp_RC078_UKH1_0nM_B,RC078,D3-Homarine,97.0954,UKH1,0nM,B,8327358
230403_Smp_RC078_UKH1_0nM_C,RC078,D3-Homarine,97.0954,UKH1,0nM,C,7213434
230403_Smp_RC078_UKH1_5nM_A,RC078,D3-Homarine,97.0954,UKH1,5nM,A,66051608
230403_Smp_RC078_UKH1_5nM_B,RC078,D3-Homarine,97.0954,UKH1,5nM,B,28669502
230403_Smp_RC078_UKH1_5nM_C,RC078,D3-Homarine,97.0954,UKH1,5nM,C,30658204
230403_Smp_RC078_UKH1_10nM_A,RC078,D3-Homarine,97.0954,UKH1,10nM,A,48177172
230403_Smp_RC078_UKH1_10nM_B,RC078,D3-Homarine,97.0954,UKH1,10nM,B,43805736
230403_Smp_RC078_UKH1_10nM_C,RC078,D3-Homarine,97.0954,UKH1,10nM,C,49656904
230403_Smp_RC078_UKH1_50nM_A,RC078,D3-Homarine,97.0954,UKH1,50nM,A,136254832
230403_Smp_RC078_UKH1_50nM_B,RC078,D3-Homarine,97.0954,UKH1,50nM,B,153774992
230403_Smp_RC078_UKH1_50nM_C,RC078,D3-Homarine,97.0954,UKH1,50nM,C,143849856
230403_Smp_RC078_UKH1_200nM_A,RC078,D3-Homarine,97.0954,UKH1,200nM,A,276703360
230403_Smp_RC078_UKH1_200nM_B,RC078,D3-Homarine,97.0954,UKH1,200nM,B,345274560
230403_Smp_RC078_UKH1_200nM_C,RC078,D3-Homarine,97.0954,UKH1,200nM,C,335974688
230403_Smp_RC078_UKH1_500nM_A,RC078,D3-Homarine,97.0954,UKH1,500nM,A,442306080
230403_Smp_RC078_UKH1_500nM_B,RC078,D3-Homarine,97.0954,UKH1,500nM,B,437555808
230403_Smp_RC078_UKH1_500nM_C,RC078,D3-Homarine,97.0954,UKH1,500nM,C,426749344
230403_Smp_RC078_UKH1_2000nM_A,RC078,D3-Homarine,97.0954,UKH1,2000nM,A,1103141376
230403_Smp_RC078_UKH1_2000nM_B,RC078,D3-Homarine,97.0954,UKH1,2000nM,B,1088666240
230403_Smp_RC078_UKH1_2000nM_C,RC078,D3-Homarine,97.0954,UKH1,2000nM,C,1088802944
230403_Smp_RC078_UKH1_0nM_A,RC078,D3-Homarine,78.0399,UKH1,0nM,A,9090544
230403_Smp_RC078_UKH1_0nM_B,RC078,D3-Homarine,78.0399,UKH1,0nM,B,10949274
230403_Smp_RC078_UKH1_0nM_C,RC078,D3-Homarine,78.0399,UKH1,0nM,C,9563562
230403_Smp_RC078_UKH1_5nM_A,RC078,D3-Homarine,78.0399,UKH1,5nM,A,97241824
230403_Smp_RC078_UKH1_5nM_B,RC078,D3-Homarine,78.0399,UKH1,5nM,B,44551540
230403_Smp_RC078_UKH1_5nM_C,RC078,D3-Homarine,78.0399,UKH1,5nM,C,46174392
230403_Smp_RC078_UKH1_10nM_A,RC078,D3-Homarine,78.0399,UKH1,10nM,A,71500976
230403_Smp_RC078_UKH1_10nM_B,RC078,D3-Homarine,78.0399,UKH1,10nM,B,66564348
230403_Smp_RC078_UKH1_10nM_C,RC078,D3-Homarine,78.0399,UKH1,10nM,C,73591672
230403_Smp_RC078_UKH1_50nM_A,RC078,D3-Homarine,78.0399,UKH1,50nM,A,211638080
230403_Smp_RC078_UKH1_50nM_B,RC078,D3-Homarine,78.0399,UKH1,50nM,B,235245216
230403_Smp_RC078_UKH1_50nM_C,RC078,D3-Homarine,78.0399,UKH1,50nM,C,225002304
230403_Smp_RC078_UKH1_200nM_A,RC078,D3-Homarine,78.0399,UKH1,200nM,A,430780864
230403_Smp_RC078_UKH1_200nM_B,RC078,D3-Homarine,78.0399,UKH1,200nM,B,538042368
230403_Smp_RC078_UKH1_200nM_C,RC078,D3-Homarine,78.0399,UKH1,200nM,C,523504064
230403_Smp_RC078_UKH1_500nM_A,RC078,D3-Homarine,78.0399,UKH1,500nM,A,687574528
230403_Smp_RC078_UKH1_500nM_B,RC078,D3-Homarine,78.0399,UKH1,500nM,B,679011328
230403_Smp_RC078_UKH1_500nM_C,RC078,D3-Homarine,78.0399,UKH1,500nM,C,655060032
230403_Smp_RC078_UKH1_2000nM_A,RC078,D3-Homarine,78.0399,UKH1,2000nM,A,1719910272
230403_Smp_RC078_UKH1_2000nM_B,RC078,D3-Homarine,78.0399,UKH1,2000nM,B,1682849280
230403_Smp_RC078_UKH1_2000nM_C,RC078,D3-Homarine,78.0399,UKH1,2000nM,C,1705393152
230921_Smp_RC078_UKH2_0nM_A,RC078,D3-Homarine,97.0954,UKH2,0nM,A,11470717
230921_Smp_RC078_UKH2_0nM_B,RC078,D3-Homarine,97.0954,UKH2,0nM,B,12459893
230921_Smp_RC078_UKH2_0nM_C,RC078,D3-Homarine,97.0954,UKH2,0nM,C,12260651
230921_Smp_RC078_UKH2_5nM_A,RC078,D3-Homarine,97.0954,UKH2,5nM,A,39758352
230921_Smp_RC078_UKH2_5nM_B,RC078,D3-Homarine,97.0954,UKH2,5nM,B,15574958
230921_Smp_RC078_UKH2_5nM_C,RC078,D3-Homarine,97.0954,UKH2,5nM,C,18345304
230921_Smp_RC078_UKH2_10nM_A,RC078,D3-Homarine,97.0954,UKH2,10nM,A,41461784
230921_Smp_RC078_UKH2_10nM_B,RC078,D3-Homarine,97.0954,UKH2,10nM,B,25976876
230921_Smp_RC078_UKH2_10nM_Blk,RC078,D3-Homarine,97.0954,UKH2,10nM,Blk,2584532
230921_Smp_RC078_UKH2_10nM_C,RC078,D3-Homarine,97.0954,UKH2,10nM,C,32388602
230921_Smp_RC078_UKH2_50nM_A,RC078,D3-Homarine,97.0954,UKH2,50nM,A,117396408
230921_Smp_RC078_UKH2_50nM_B,RC078,D3-Homarine,97.0954,UKH2,50nM,B,116073200
230921_Smp_RC078_UKH2_50nM_C,RC078,D3-Homarine,97.0954,UKH2,50nM,C,120728904
230921_Smp_RC078_UKH2_200nM_A,RC078,D3-Homarine,97.0954,UKH2,200nM,A,135835424
230921_Smp_RC078_UKH2_200nM_B,RC078,D3-Homarine,97.0954,UKH2,200nM,B,164140048
230921_Smp_RC078_UKH2_200nM_Blk,RC078,D3-Homarine,97.0954,UKH2,200nM,Blk,57395616
230921_Smp_RC078_UKH2_200nM_C,RC078,D3-Homarine,97.0954,UKH2,200nM,C,161544288
230921_Smp_RC078_UKH2_500nM_A,RC078,D3-Homarine,97.0954,UKH2,500nM,A,527355328
230921_Smp_RC078_UKH2_500nM_B,RC078,D3-Homarine,97.0954,UKH2,500nM,B,557876928
230921_Smp_RC078_UKH2_500nM_C,RC078,D3-Homarine,97.0954,UKH2,500nM,C,492579328
230921_Smp_RC078_UKH2_2000nM_A,RC078,D3-Homarine,97.0954,UKH2,2000nM,A,1105823104
230921_Smp_RC078_UKH2_2000nM_B,RC078,D3-Homarine,97.0954,UKH2,2000nM,B,985485376
230921_Smp_RC078_UKH2_2000nM_Blk,RC078,D3-Homarine,97.0954,UKH2,2000nM,Blk,380775296
230921_Smp_RC078_UKH2_2000nM_C,RC078,D3-Homarine,97.0954,UKH2,2000nM,C,930795584
230921_Smp_RC104_UCH1_Con_A,RC104,D3-Homarine,97.0954,UCH1,Con,A,226625168
230921_Smp_RC104_UCH1_Con_B,RC104,D3-Homarine,97.0954,UCH1,Con,B,204768656
230921_Smp_RC104_UCH1_Con_C,RC104,D3-Homarine,97.0954,UCH1,Con,C,276013888
230921_Smp_RC104_UCH1_DMSP_A,RC104,D3-Homarine,97.0954,UCH1,DMSP,A,100763264
230921_Smp_RC104_UCH1_DMSP_B,RC104,D3-Homarine,97.0954,UCH1,DMSP,B,91873624
230921_Smp_RC104_UCH1_DMSP_C,RC104,D3-Homarine,97.0954,UCH1,DMSP,C,112250096
230921_Smp_RC104_UCH1_GBT_A,RC104,D3-Homarine,97.0954,UCH1,GBT,A,135125392
230921_Smp_RC104_UCH1_GBT_B,RC104,D3-Homarine,97.0954,UCH1,GBT,B,109439712
230921_Smp_RC104_UCH1_GBT_C,RC104,D3-Homarine,97.0954,UCH1,GBT,C,142439152
230921_Smp_RC104_UCH1_Gluc_A,RC104,D3-Homarine,97.0954,UCH1,Gluc,A,224192288
230921_Smp_RC104_UCH1_Gluc_B,RC104,D3-Homarine,97.0954,UCH1,Gluc,B,229976064
230921_Smp_RC104_UCH1_Gluc_C,RC104,D3-Homarine,97.0954,UCH1,Gluc,C,217290096
230921_Smp_RC104_UCH1_Hom_A,RC104,D3-Homarine,97.0954,UCH1,Hom,A,142172160
230921_Smp_RC104_UCH1_Hom_B,RC104,D3-Homarine,97.0954,UCH1,Hom,B,109014920
230921_Smp_RC104_UCH1_Hom_C,RC104,D3-Homarine,97.0954,UCH1,Hom,C,131034432
230921_Smp_RC104_UCH1_TMAO_A,RC104,D3-Homarine,97.0954,UCH1,TMAO,A,209657008
230921_Smp_RC104_UCH1_TMAO_B,RC104,D3-Homarine,97.0954,UCH1,TMAO,B,162226704
230921_Smp_RC104_UCH1_TMAO_C,RC104,D3-Homarine,97.0954,UCH1,TMAO,C,198634224
230921_Smp_RC104_UCH1_Trig_A,RC104,D3-Homarine,97.0954,UCH1,Trig,A,137780400
230921_Smp_RC104_UCH1_Trig_B,RC104,D3-Homarine,97.0954,UCH1,Trig,B,175810304
230921_Smp_RC104_UCH1_Trig_C,RC104,D3-Homarine,97.0954,UCH1,Trig,C,136989680
230921_Smp_RC104_UKH1_0nM_A,RC104,D3-Homarine,97.0954,UKH1,0nM,A,1950095
230921_Smp_RC104_UKH1_0nM_B,RC104,D3-Homarine,97.0954,UKH1,0nM,B,1406645
230921_Smp_RC104_UKH1_0nM_C,RC104,D3-Homarine,97.0954,UKH1,0nM,C,1918421
230921_Smp_RC104_UKH1_10nM_A,RC104,D3-Homarine,97.0954,UKH1,10nM,A,66229596
230921_Smp_RC104_UKH1_10nM_B,RC104,D3-Homarine,97.0954,UKH1,10nM,B,86391728
230921_Smp_RC104_UKH1_10nM_C,RC104,D3-Homarine,97.0954,UKH1,10nM,C,68909496
230921_Smp_RC104_UKH1_100nM_A,RC104,D3-Homarine,97.0954,UKH1,100nM,A,258478480
230921_Smp_RC104_UKH1_100nM_B,RC104,D3-Homarine,97.0954,UKH1,100nM,B,191151024
230921_Smp_RC104_UKH1_100nM_C,RC104,D3-Homarine,97.0954,UKH1,100nM,C,282832032
230921_Smp_RC104_UKH1_250nM_A,RC104,D3-Homarine,97.0954,UKH1,250nM,A,455106112
230921_Smp_RC104_UKH1_250nM_B,RC104,D3-Homarine,97.0954,UKH1,250nM,B,439227232
230921_Smp_RC104_UKH1_250nM_Blk,RC104,D3-Homarine,97.0954,UKH1,250nM,Blk,110307712
230921_Smp_RC104_UKH1_250nM_C,RC104,D3-Homarine,97.0954,UKH1,250nM,C,447847200
230921_Smp_RC104_UKH1_1000nM_A,RC104,D3-Homarine,97.0954,UKH1,1000nM,A,861402240
230921_Smp_RC104_UKH1_1000nM_B,RC104,D3-Homarine,97.0954,UKH1,1000nM,B,891237440
230921_Smp_RC104_UKH1_1000nM_Blk,RC104,D3-Homarine,97.0954,UKH1,1000nM,Blk,435193088
230921_Smp_RC104_UKH1_1000nM_C,RC104,D3-Homarine,97.0954,UKH1,1000nM,C,798187456
230921_Smp_RC104_UKH1_2000nM_A,RC104,D3-Homarine,97.0954,UKH1,2000nM,A,1130707328
230921_Smp_RC104_UKH1_2000nM_B,RC104,D3-Homarine,97.0954,UKH1,2000nM,B,1085455488
230921_Smp_RC104_UKH1_2000nM_Blk,RC104,D3-Homarine,97.0954,UKH1,2000nM,Blk,726665664
230921_Smp_RC104_UKH1_2000nM_C,RC104,D3-Homarine,97.0954,UKH1,2000nM,C,1330194944
230921_Smp_RC104_UKH1_3000nM_A,RC104,D3-Homarine,97.0954,UKH1,3000nM,A,1774038016
230921_Smp_RC104_UKH1_3000nM_B,RC104,D3-Homarine,97.0954,UKH1,3000nM,B,896915392
230921_Smp_RC104_UKH1_3000nM_Blk,RC104,D3-Homarine,97.0954,UKH1,3000nM,Blk,335352864
230921_Smp_RC104_UKH1_3000nM_C,RC104,D3-Homarine,97.0954,UKH1,3000nM,C,1523778944
230921_Smp_RC078_UKH2_0nM_A,RC078,D3-Homarine,78.0399,UKH2,0nM,A,14357852
230921_Smp_RC078_UKH2_0nM_B,RC078,D3-Homarine,78.0399,UKH2,0nM,B,14927367
230921_Smp_RC078_UKH2_0nM_C,RC078,D3-Homarine,78.0399,UKH2,0nM,C,14933045
230921_Smp_RC078_UKH2_5nM_A,RC078,D3-Homarine,78.0399,UKH2,5nM,A,69914168
230921_Smp_RC078_UKH2_5nM_B,RC078,D3-Homarine,78.0399,UKH2,5nM,B,24723436
230921_Smp_RC078_UKH2_5nM_C,RC078,D3-Homarine,78.0399,UKH2,5nM,C,29113808
230921_Smp_RC078_UKH2_10nM_A,RC078,D3-Homarine,78.0399,UKH2,10nM,A,70925400
230921_Smp_RC078_UKH2_10nM_B,RC078,D3-Homarine,78.0399,UKH2,10nM,B,44680404
230921_Smp_RC078_UKH2_10nM_Blk,RC078,D3-Homarine,78.0399,UKH2,10nM,Blk,5459707
230921_Smp_RC078_UKH2_10nM_C,RC078,D3-Homarine,78.0399,UKH2,10nM,C,55493200
230921_Smp_RC078_UKH2_50nM_A,RC078,D3-Homarine,78.0399,UKH2,50nM,A,225696240
230921_Smp_RC078_UKH2_50nM_B,RC078,D3-Homarine,78.0399,UKH2,50nM,B,225736688
230921_Smp_RC078_UKH2_50nM_C,RC078,D3-Homarine,78.0399,UKH2,50nM,C,223365472
230921_Smp_RC078_UKH2_200nM_A,RC078,D3-Homarine,78.0399,UKH2,200nM,A,268118160
230921_Smp_RC078_UKH2_200nM_B,RC078,D3-Homarine,78.0399,UKH2,200nM,B,316427456
230921_Smp_RC078_UKH2_200nM_Blk,RC078,D3-Homarine,78.0399,UKH2,200nM,Blk,121463392
230921_Smp_RC078_UKH2_200nM_C,RC078,D3-Homarine,78.0399,UKH2,200nM,C,320359872
230921_Smp_RC078_UKH2_500nM_A,RC078,D3-Homarine,78.0399,UKH2,500nM,A,1021270784
230921_Smp_RC078_UKH2_500nM_B,RC078,D3-Homarine,78.0399,UKH2,500nM,B,1093895552
230921_Smp_RC078_UKH2_500nM_C,RC078,D3-Homarine,78.0399,UKH2,500nM,C,968230848
230921_Smp_RC078_UKH2_2000nM_A,RC078,D3-Homarine,78.0399,UKH2,2000nM,A,2161816320
230921_Smp_RC078_UKH2_2000nM_B,RC078,D3-Homarine,78.0399,UKH2,2000nM,B,1961406976
230921_Smp_RC078_UKH2_2000nM_Blk,RC078,D3-Homarine,78.0399,UKH2,2000nM,Blk,810065856
230921_Smp_RC078_UKH2_2000nM_C,RC078,D3-Homarine,78.0399,UKH2,2000nM,C,1822969472
230921_Smp_RC104_UCH1_Con_A,RC104,D3-Homarine,78.0399,UCH1,Con,A,474856960
230921_Smp_RC104_UCH1_Con_B,RC104,D3-Homarine,78.0399,UCH1,Con,B,426077984
230921_Smp_RC104_UCH1_Con_C,RC104,D3-Homarine,78.0399,UCH1,Con,C,568774592
230921_Smp_RC104_UCH1_DMSP_A,RC104,D3-Homarine,78.0399,UCH1,DMSP,A,209548080
230921_Smp_RC104_UCH1_DMSP_B,RC104,D3-Homarine,78.0399,UCH1,DMSP,B,194764736
230921_Smp_RC104_UCH1_DMSP_C,RC104,D3-Homarine,78.0399,UCH1,DMSP,C,232595840
230921_Smp_RC104_UCH1_GBT_A,RC104,D3-Homarine,78.0399,UCH1,GBT,A,276163552
230921_Smp_RC104_UCH1_GBT_B,RC104,D3-Homarine,78.0399,UCH1,GBT,B,223922032
230921_Smp_RC104_UCH1_GBT_C,RC104,D3-Homarine,78.0399,UCH1,GBT,C,291918016
230921_Smp_RC104_UCH1_Gluc_A,RC104,D3-Homarine,78.0399,UCH1,Gluc,A,466273280
230921_Smp_RC104_UCH1_Gluc_B,RC104,D3-Homarine,78.0399,UCH1,Gluc,B,474966368
230921_Smp_RC104_UCH1_Gluc_C,RC104,D3-Homarine,78.0399,UCH1,Gluc,C,453889984
230921_Smp_RC104_UCH1_Hom_A,RC104,D3-Homarine,78.0399,UCH1,Hom,A,289062592
230921_Smp_RC104_UCH1_Hom_B,RC104,D3-Homarine,78.0399,UCH1,Hom,B,224382864
230921_Smp_RC104_UCH1_Hom_C,RC104,D3-Homarine,78.0399,UCH1,Hom,C,270758944
230921_Smp_RC104_UCH1_TMAO_A,RC104,D3-Homarine,78.0399,UCH1,TMAO,A,431582528
230921_Smp_RC104_UCH1_TMAO_B,RC104,D3-Homarine,78.0399,UCH1,TMAO,B,337299104
230921_Smp_RC104_UCH1_TMAO_C,RC104,D3-Homarine,78.0399,UCH1,TMAO,C,407074112
230921_Smp_RC104_UCH1_Trig_A,RC104,D3-Homarine,78.0399,UCH1,Trig,A,285270784
230921_Smp_RC104_UCH1_Trig_B,RC104,D3-Homarine,78.0399,UCH1,Trig,B,360650272
230921_Smp_RC104_UCH1_Trig_C,RC104,D3-Homarine,78.0399,UCH1,Trig,C,283400320
230921_Smp_RC104_UKH1_0nM_A,RC104,D3-Homarine,78.0399,UKH1,0nM,A,2752228
230921_Smp_RC104_UKH1_0nM_B,RC104,D3-Homarine,78.0399,UKH1,0nM,B,1903933
230921_Smp_RC104_UKH1_0nM_C,RC104,D3-Homarine,78.0399,UKH1,0nM,C,2979911
230921_Smp_RC104_UKH1_10nM_A,RC104,D3-Homarine,78.0399,UKH1,10nM,A,140582000
230921_Smp_RC104_UKH1_10nM_B,RC104,D3-Homarine,78.0399,UKH1,10nM,B,180799168
230921_Smp_RC104_UKH1_10nM_C,RC104,D3-Homarine,78.0399,UKH1,10nM,C,149779040
230921_Smp_RC104_UKH1_100nM_A,RC104,D3-Homarine,78.0399,UKH1,100nM,A,559289216
230921_Smp_RC104_UKH1_100nM_B,RC104,D3-Homarine,78.0399,UKH1,100nM,B,411011232
230921_Smp_RC104_UKH1_100nM_C,RC104,D3-Homarine,78.0399,UKH1,100nM,C,607591296
230921_Smp_RC104_UKH1_250nM_A,RC104,D3-Homarine,78.0399,UKH1,250nM,A,964637120
230921_Smp_RC104_UKH1_250nM_B,RC104,D3-Homarine,78.0399,UKH1,250nM,B,928922432
230921_Smp_RC104_UKH1_250nM_Blk,RC104,D3-Homarine,78.0399,UKH1,250nM,Blk,244090288
230921_Smp_RC104_UKH1_250nM_C,RC104,D3-Homarine,78.0399,UKH1,250nM,C,965863488
230921_Smp_RC104_UKH1_1000nM_A,RC104,D3-Homarine,78.0399,UKH1,1000nM,A,1847223808
230921_Smp_RC104_UKH1_1000nM_B,RC104,D3-Homarine,78.0399,UKH1,1000nM,B,1910821504
230921_Smp_RC104_UKH1_1000nM_Blk,RC104,D3-Homarine,78.0399,UKH1,1000nM,Blk,941624320
230921_Smp_RC104_UKH1_1000nM_C,RC104,D3-Homarine,78.0399,UKH1,1000nM,C,1714366208
230921_Smp_RC104_UKH1_2000nM_A,RC104,D3-Homarine,78.0399,UKH1,2000nM,A,2421913600
230921_Smp_RC104_UKH1_2000nM_B,RC104,D3-Homarine,78.0399,UKH1,2000nM,B,2316093952
230921_Smp_RC104_UKH1_2000nM_Blk,RC104,D3-Homarine,78.0399,UKH1,2000nM,Blk,1596549248
230921_Smp_RC104_UKH1_2000nM_C,RC104,D3-Homarine,78.0399,UKH1,2000nM,C,2814817792
230921_Smp_RC104_UKH1_3000nM_A,RC104,D3-Homarine,78.0399,UKH1,3000nM,A,3762823936
230921_Smp_RC104_UKH1_3000nM_B,RC104,D3-Homarine,78.0399,UKH1,3000nM,B,1913801600
230921_Smp_RC104_UKH1_3000nM_Blk,RC104,D3-Homarine,78.0399,UKH1,3000nM,Blk,734141696
230921_Smp_RC104_UKH1_3000nM_C,RC104,D3-Homarine,78.0399,UKH1,3000nM,C,3227697664
230921_Smp_TN412_UKG_0nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,0nM,A,6909965
230921_Smp_TN412_UKG_0nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,0nM,B,3632435
230921_Smp_TN412_UKG_0nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,0nM,C,2478580
230921_Smp_TN412_UKG_2nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,2nM,A,650432256
230921_Smp_TN412_UKG_2nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,2nM,B,724891712
230921_Smp_TN412_UKG_2nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,2nM,C,854585280
230921_Smp_TN412_UKG_5nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,5nM,A,1153175040
230921_Smp_TN412_UKG_5nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,5nM,B,1042947968
230921_Smp_TN412_UKG_5nM_blk,TN412,13C-15N Glycine betaine,62.8977,UKG,5nM,blk,13279630
230921_Smp_TN412_UKG_5nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,5nM,C,1199315072
230921_Smp_TN412_UKG_10nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,10nM,A,1473648384
230921_Smp_TN412_UKG_10nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,10nM,B,1274739200
230921_Smp_TN412_UKG_10nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,10nM,C,1466160000
230921_Smp_TN412_UKG_50nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,50nM,A,1713532416
230921_Smp_TN412_UKG_50nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,50nM,B,1449042304
230921_Smp_TN412_UKG_50nM_blk,TN412,13C-15N Glycine betaine,62.8977,UKG,50nM,blk,45565984
230921_Smp_TN412_UKG_50nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,50nM,C,1831801984
230921_Smp_TN412_UKG_200nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,200nM,A,2221447168
230921_Smp_TN412_UKG_200nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,200nM,B,2388487936
230921_Smp_TN412_UKG_200nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,200nM,C,2694002688
230921_Smp_TN412_UKG_1000nM_A,TN412,13C-15N Glycine betaine,62.8977,UKG,1000nM,A,2636793600
230921_Smp_TN412_UKG_1000nM_B,TN412,13C-15N Glycine betaine,62.8977,UKG,1000nM,B,2532571904
230921_Smp_TN412_UKG_1000nM_blk,TN412,13C-15N Glycine betaine,62.8977,UKG,1000nM,blk,480277376
230921_Smp_TN412_UKG_1000nM_C,TN412,13C-15N Glycine betaine,62.8977,UKG,1000nM,C,2572153600
230921_Smp_RC078_UKG1_0nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,0nM,A,5084523
230921_Smp_RC078_UKG1_0nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,0nM,B,1712400
230921_Smp_RC078_UKG1_0nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,0nM,C,973318
230921_Smp_RC078_UKG1_10nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,10nM,A,122843680
230921_Smp_RC078_UKG1_10nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,10nM,B,125703976
230921_Smp_RC078_UKG1_10nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,10nM,C,110228768
230921_Smp_RC078_UKG1_50nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,50nM,A,369878976
230921_Smp_RC078_UKG1_50nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,50nM,B,402932512
230921_Smp_RC078_UKG1_50nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,50nM,C,366469792
230921_Smp_RC078_UKG1_200nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,200nM,A,807256192
230921_Smp_RC078_UKG1_200nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,200nM,B,809284352
230921_Smp_RC078_UKG1_200nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,200nM,C,654305216
230921_Smp_RC078_UKG1_500nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,500nM,A,1034379712
230921_Smp_RC078_UKG1_500nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,500nM,B,1109435008
230921_Smp_RC078_UKG1_500nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,500nM,C,1076626304
230921_Smp_RC078_UKG1_1000nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,1000nM,A,1017039424
230921_Smp_RC078_UKG1_1000nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,1000nM,B,1257044992
230921_Smp_RC078_UKG1_1000nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,1000nM,C,1174036608
230921_Smp_RC078_UKG1_2000nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,2000nM,A,1415586560
230921_Smp_RC078_UKG1_2000nM_B,RC078,13C-15N Glycine betaine,62.8977,UKG1,2000nM,B,1344081920
230921_Smp_RC078_UKG1_2000nM_C,RC078,13C-15N Glycine betaine,62.8977,UKG1,2000nM,C,1565639424
230921_Smp_RC078_UKG1_5000nM_A,RC078,13C-15N Glycine betaine,62.8977,UKG1,5000nM,A,1726790144
230921_Smp_RC104_UKG1_ 0nM_A,RC104,13C-15N Glycine betaine,62.8977,UKG1,0nM,A,1210575
230921_Smp_RC104_UKG1_ 0nM_B,RC104,13C-15N Glycine betaine,62.8977,UKG1,0nM,B,660441
230921_Smp_RC104_UKG1_ 0nM_C,RC104,13C-15N Glycine betaine,62.8977,UKG1,0nM,C,512523
230921_Smp_RC104_UKG1_10nM_A,RC104,13C-15N Glycine betaine,62.8977,UKG1,10nM,A,58294552
230921_Smp_RC104_UKG1_10nM_B,RC104,13C-15N Glycine betaine,62.8977,UKG1,10nM,B,63294308
230921_Smp_RC104_UKG1_10nM_C,RC104,13C-15N Glycine betaine,62.8977,UKG1,10nM,C,67480944
230921_Smp_RC104_UKG1_100nM_A,RC104,13C-15N Glycine betaine,62.8977,UKG1,100nM,A,275186720
