SampID,date,type,cruise,exp,treatment,rep,Compound,Area,Fragment_mz
230605_Smp_TN397_UCH1_Gluc_B,230605,Smp,TN397,UCH1,Gluc,B,D3-Homarine,633127296,78.0399
230605_Smp_TN397_UCH1_Gluc_C,230605,Smp,TN397,UCH1,Gluc,C,D3-Homarine,525212384,78.0399
230605_Smp_TN397_UCH1_Hom_A,230605,Smp,TN397,UCH1,Hom,A,D3-Homarine,590547200,78.0399
230605_Smp_TN397_UCH1_Hom_B,230605,Smp,TN397,UCH1,Hom,B,D3-Homarine,621934656,78.0399
230605_Smp_TN397_UCH1_Hom_C,230605,Smp,TN397,UCH1,Hom,C,D3-Homarine,671313600,78.0399
230605_Smp_TN397_UCH1_TMAO_A,230605,Smp,TN397,UCH1,TMAO,A,D3-Homarine,295622400,78.0399
230605_Smp_TN397_UCH1_TMAO_B,230605,Smp,TN397,UCH1,TMAO,B,D3-Homarine,396282016,78.0399
230605_Smp_TN397_UCH1_TMAO_C,230605,Smp,TN397,UCH1,TMAO,C,D3-Homarine,340234208,78.0399
230605_Smp_TN397_UCH1_Trig_A,230605,Smp,TN397,UCH1,Trig,A,D3-Homarine,128461592,78.0399
230605_Smp_TN397_UCH1_Trig_B,230605,Smp,TN397,UCH1,Trig,B,D3-Homarine,145172160,78.0399
230605_Smp_TN397_UCH1_Trig_C,230605,Smp,TN397,UCH1,Trig,C,D3-Homarine,160205120,78.0399
230605_Smp_TN397_UKH4_5nM_A,230605,Smp,TN397,UKH4,5nM,A,D3-Homarine,118959280,78.0399
230605_Smp_TN397_UKH4_5nM_B,230605,Smp,TN397,UKH4,5nM,B,D3-Homarine,107138968,78.0399
230605_Smp_TN397_UKH4_5nM_C,230605,Smp,TN397,UKH4,5nM,C,D3-Homarine,103408928,78.0399
230605_Smp_TN397_UKH4_10nM_A,230605,Smp,TN397,UKH4,10nM,A,D3-Homarine,230152704,78.0399
230605_Smp_TN397_UKH4_10nM_B,230605,Smp,TN397,UKH4,10nM,B,D3-Homarine,172826272,78.0399
230605_Smp_TN397_UKH4_10nM_C,230605,Smp,TN397,UKH4,10nM,C,D3-Homarine,220847072,78.0399
230605_Smp_TN397_UKH4_50nM_A,230605,Smp,TN397,UKH4,50nM,A,D3-Homarine,529117120,78.0399
230605_Smp_TN397_UKH4_50nM_B,230605,Smp,TN397,UKH4,50nM,B,D3-Homarine,549230464,78.0399
230605_Smp_TN397_UKH4_50nM_C,230605,Smp,TN397,UKH4,50nM,C,D3-Homarine,294324160,78.0399
230605_Smp_TN397_UKH4_200nM_A,230605,Smp,TN397,UKH4,200nM,A,D3-Homarine,781823616,78.0399
230605_Smp_TN397_UKH4_200nM_B,230605,Smp,TN397,UKH4,200nM,B,D3-Homarine,759288896,78.0399
230605_Smp_TN397_UKH4_200nM_C,230605,Smp,TN397,UKH4,200nM,C,D3-Homarine,980167424,78.0399
230605_Smp_TN397_UKH4_500nM_A,230605,Smp,TN397,UKH4,500nM,A,D3-Homarine,1259190400,78.0399
230605_Smp_TN397_UKH4_500nM_B,230605,Smp,TN397,UKH4,500nM,B,D3-Homarine,1477077504,78.0399
230605_Smp_TN397_UKH4_500nM_C,230605,Smp,TN397,UKH4,500nM,C,D3-Homarine,1663917568,78.0399
230605_Smp_TN397_UKH4_1500nM_A,230605,Smp,TN397,UKH4,1500nM,A,D3-Homarine,2733543680,78.0399
230605_Smp_TN397_UKH4_1500nM_B,230605,Smp,TN397,UKH4,1500nM,B,D3-Homarine,2551390208,78.0399
230605_Smp_TN397_UKH4_1500nM_C,230605,Smp,TN397,UKH4,1500nM,C,D3-Homarine,2524300288,78.0399
230605_Smp_TN397_UKH4_0nM_A,230605,Smp,TN397,UKH4,OnM,A,D3-Homarine,5426447,78.0399
230605_Smp_TN397_UKH4_0nM_B,230605,Smp,TN397,UKH4,OnM,B,D3-Homarine,4875225,78.0399
230605_Smp_TN397_UKH4_0nM_C,230605,Smp,TN397,UKH4,OnM,C,D3-Homarine,5781152,78.0399
230607_Smp_TN397_UKH5_2nM_A,230607,Smp,TN397,UKH5,2nM,A,D3-Homarine,54340404,97.0954
230607_Smp_TN397_UKH5_2nM_B,230607,Smp,TN397,UKH5,2nM,B,D3-Homarine,88689656,97.0954
230607_Smp_TN397_UKH5_2nM_C,230607,Smp,TN397,UKH5,2nM,C,D3-Homarine,47921752,97.0954
230607_Smp_TN397_UKH5_5nM_A,230607,Smp,TN397,UKH5,5nM,A,D3-Homarine,195115760,97.0954
230607_Smp_TN397_UKH5_5nM_B,230607,Smp,TN397,UKH5,5nM,B,D3-Homarine,132405120,97.0954
230607_Smp_TN397_UKH5_5nM_C,230607,Smp,TN397,UKH5,5nM,C,D3-Homarine,126956888,97.0954
230607_Smp_TN397_UKH5_10nM_A,230607,Smp,TN397,UKH5,10nM,A,D3-Homarine,210067440,97.0954
230607_Smp_TN397_UKH5_10nM_B,230607,Smp,TN397,UKH5,10nM,B,D3-Homarine,218223664,97.0954
230607_Smp_TN397_UKH5_10nM_Blk,230607,Smp,TN397,UKH5,10nM,Blk,D3-Homarine,8187516,97.0954
230607_Smp_TN397_UKH5_10nM_C,230607,Smp,TN397,UKH5,10nM,C,D3-Homarine,205189696,97.0954
230607_Smp_TN397_UKH5_50nM_A,230607,Smp,TN397,UKH5,50nM,A,D3-Homarine,652767936,97.0954
230607_Smp_TN397_UKH5_50nM_B,230607,Smp,TN397,UKH5,50nM,B,D3-Homarine,660384960,97.0954
230607_Smp_TN397_UKH5_50nM_C,230607,Smp,TN397,UKH5,50nM,C,D3-Homarine,807148672,97.0954
230607_Smp_TN397_UKH5_200nM_A,230607,Smp,TN397,UKH5,200nM,A,D3-Homarine,1592711424,97.0954
230607_Smp_TN397_UKH5_200nM_B,230607,Smp,TN397,UKH5,200nM,B,D3-Homarine,1617368064,97.0954
