Cruise,exp,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,mean_ks,sd_ks,mean_vmax,sd_vamx,mm_tt,mm_tt_sd,mm_flux_nM_hr,mm_flux_sd_nM_hr,mm_flux_nM_day,mm_flux_sd_nM_day,Compound,mean.part.conc.nM,sd.part.conc.nM,pp.uM.C.perday,C,flux_nM_C_day,flux_sd_C,Flux_Perc_of_Diss,Flux_Perc_of_Diss_Error,Flux_Perc_of_Part,Flux_Perc_of_Part_Error,flux_Perc_of_PP,flux_Perc_of_PP_Error
KM1906,UKG1,6.963428090644706,0.4648804613486325,71.77496562872082,21.693499742517485,0.35646694819840496,0.02676137520716322,220.88553824502335,71.88151540183426,0.03152505205171165,0.01004081670449441,0.7566012492410796,0.24097960090786597,GBT,0.46059760893884527,0.04460653697654161,675.0630600000001,5,3.783006246205398,1.2048980045393298,10.865355962497345,3.5358505503348012,164.26512742525668,54.683996230910715,0.5603930166472741,0.1784867334526244
RC078,UKG1,55.98668335355126,9.190571956899433,64.46596672127036,22.333839335806143,3.6618350563154474,0.17997749624887624,32.894067652523255,13.812911024975175,1.702029798958494,0.6578435598372456,40.84871517500386,15.788245436093897,GBT,8.902973221982252,1.5898872440065828,16691.209498229677,5,204.2435758750193,78.94122718046948,72.96148428198116,30.63806219659863,458.8210495134891,195.3505415716591,1.2236595310644325,0.4729509098117919
RC078,UKH1,13.394020063413016,2.3638953145655623,86.47374203486504,33.552236281036265,0.16692686818542318,0.0157289395007932,598.2725440421278,281.7114673038282,0.0223878234038931,0.00977337512417211,0.5373077616934344,0.23456100298013077,Homarine,1.133121883872534,0.13452720458180364,16691.209498229677,7,3.761154331854041,1.6419270208609154,4.011549625501454,1.8889376462553495,47.41835537207546,21.452277064135842,0.022533743478883067,0.00983707634270041
RC078,UKH2,12.361363970511508,0.374719644005147,491.4583221385085,165.35125529576712,0.48603360785993416,0.07605556809370598,1036.594338254509,387.197120760882,0.01192497731689953,0.00443962151317404,0.2861994556055889,0.10655091631617702,Homarine,2.414706888883376,0.2314454804711998,16691.209498229677,7,2.0033961892391225,0.7458564142132391,2.31527407726468,0.8648199429670119,11.852347666839806,4.556471816916501,0.012002702317358184,0.0044685582209746215
RC104,UKG1,10.49989606849078,1.0002203487606312,54.42187958123002,23.274079703875245,0.4482755330145257,0.03216112257055171,144.8256058347425,65.76255179537162,0.07250027374628762,0.03218841158178485,1.7400065699109029,0.7725218779628364,GBT,0.7751267172839882,0.0949513606153766,16691.209498229677,5,8.700032849554514,3.8626093898141822,16.571655172211674,7.524873279944363,224.4802728523942,103.38791818004333,0.052123441686339554,0.02314157874672811
RC104,UKH1,4.10233899264348,1.3976235970254405,182.8418952210808,18.610620561260937,0.29742389741270014,0.00871826366101174,628.5447667116129,310.0695335286798,0.00652672523884954,0.00232857584098709,0.15664140573238894,0.05588582018369029,Homarine,0.4101057760297335,0.07737921027191175,16691.209498229677,7,1.0964898401267225,0.39120074128583204,3.818343779324092,1.8836400161301083,38.19536687555264,15.415478581837684,0.006569265338398752,0.002343753107450506
TN397,UKH1,0.06007257328812405,0.02504021359053714,37.725673501253006,6.0506962159950755,0.07398930306610202,0.00438865472543583,510.69201234107254,313.45889122848274,1.176297491177594e-4,5.2997605099226e-5,0.00282311397882622,0.00127194252238142,Homarine,0.01352855342802466,0.00277754401531501,398.2639242941506,7,0.01976179785178354,0.00890359765666994,4.699505655077925,2.8845209957560076,20.86781852801856,10.33207262115553,0.004961985418791743,0.0022356023514934036
TN397,UKH2,0.1867874406324501,0.07213310051456506,34.50063297106213,9.439627788009176,0.05154939029743645,0.00461043929893539,672.8968123880911,415.415615930695,2.7758704929742035e-4,1.337016307340741e-4,0.00666208918313808,0.00320883913761777,Homarine,0.0290234968588833,0.01134841672225576,456.09312328373954,7,0.04663462428196656,0.02246187396332439,3.566668701375574,2.2018975987482134,22.954123052539742,14.240443612684663,0.010224803203830537,0.004924843812948844
TN397,UKH3,0.3875104054779306,0.11371992632312485,226.64422271114177,100.17459408793592,0.16611867060363228,0.0261789522153905,1366.6840234854103,856.1506378624588,2.835405981330456e-4,1.5692666412921283e-4,0.00680497435519309,0.0037662399391011,Homarine,0.20898716573855344,0.01569694369712382,1633.7351390314232,7,0.047634820486351634,0.0263636795737077,1.7560752586244153,1.1000823357629768,3.256168545635109,1.818658977373952,0.0029157003083493957,0.0016137058537736833
TN397,UKH4,0.8880441435266463,0.08374415392284061,309.8383538534872,41.46180730444745,0.26203703653376154,0.01425956789489438,1185.8109911000272,233.13817503056893,7.488918134439324e-4,1.2919479215418194e-4,0.01797340352265437,0.00310067501170036,Homarine,0.29304780949805515,0.03473980135121807,1868.4886604156327,7,0.1258138246585806,0.02170472508190252,2.023931316215596,0.3979180973959434,6.133266634355666,1.283811187320883,0.006733454011467972,0.0011616193098583992
TN397,UKH5,0.30047782703013076,0.03635968978384228,260.06349114299917,61.40649065011535,0.6711830001021921,0.07823457201426627,387.91800288503606,121.8241417322718,7.745910857330868e-4,2.244743771141432e-4,0.01859018605759408,0.00538738505073943,Homarine,0.25819844967688943,0.02077344364153229,1319.6741127389294,7,0.13013130240315857,0.03771169535517601,6.186874499638181,1.9429639004072465,7.199960371899178,2.1654473686208786,0.009860866493249337,0.0028576521272291188
