Cruise,exp,Compound,Mean.Diss.Conc.nM,SD.Diss.Conc.nM,Tot.Conc.nM,Tot.Conc.nM.SD,Rel.Abun,Rel.Abun.SD
KM1906,UKG1,Betonicine,0.0642502026415092,0.00897470239702298,29.492595619228997,6.542333128320663,0.002178519770556188,5.710877633758829e-4
KM1906,UKG1,Dimethylsulfonioacetate,1.8274126812479519,0.33552767372541126,29.492595619228997,6.542333128320663,0.06196174473217575,0.017842435318755356
KM1906,UKG1,Dimethylsulfoniopropionate,10.88590648276983,3.136219400534512,29.492595619228997,6.542333128320663,0.369106423297388,0.13420938728583975
KM1906,UKG1,Glycine betaine,6.963428090644706,0.4648804613486325,29.492595619228997,6.542333128320663,0.23610767192374865,0.054696187823663825
KM1906,UKG1,Gonyol,0.8360389539282952,0.2588561807329619,29.492595619228997,6.542333128320663,0.028347418610493638,0.01079714011812984
KM1906,UKG1,Homarine,1.3803985696030041,0.19441745938623922,29.492595619228997,6.542333128320663,0.04680491969662353,0.012298632566884725
KM1906,UKG1,Proline betaine,0.045274014066180264,0.004576762349062539,29.492595619228997,6.542333128320663,0.0015350976445308827,3.7422283751416377e-4
KM1906,UKG1,Trigonelline,0.333828843901245,0.03617786123999975,29.492595619228997,6.542333128320663,0.011319073038237116,0.002794527693312113
KM1906,UKG1,Trimethylamine N-oxide,6.614407467458927,2.0491628809160836,29.492595619228997,6.542333128320663,0.22427349402730673,0.08545563838308513
KM1906,UKG1,beta-Alaninebetaine,0.5416503129673491,0.05353974569073752,29.492595619228997,6.542333128320663,0.01836563725893954,0.0044601984865876645
RC078,UKG1,Betonicine,2.29859417525508,0.1328840914653644,132.70031393273945,37.27257967233331,0.01732169357504419,0.004967265113730357
RC078,UKG1,Dimethylsulfonioacetate,4.621747708938675,0.6184504414747961,132.70031393273945,37.27257967233331,0.03482846100334967,0.010835979921011181
RC078,UKG1,Dimethylsulfoniopropionate,2.395345242844573,3.295769917901968,132.70031393273945,37.27257967233331,0.018050788064138863,0.025348408239279675
RC078,UKG1,Glycine betaine,55.98668335355126,9.190571956899431,132.70031393273945,37.27257967233331,0.42190317184877724,0.13725781222841346
RC078,UKG1,Gonyol,4.268404224032337,1.3770140694364,132.70031393273945,37.27257967233331,0.0321657432264691,0.013758788705630999
RC078,UKG1,Homarine,12.229504631644119,2.370211176383174,132.70031393273945,37.27257967233331,0.09215882215503102,0.031449666422949
RC078,UKG1,Proline betaine,0.34501300700003623,0.08393178364066149,132.70031393273945,37.27257967233331,0.0025999411514196547,9.660918303336254e-4
RC078,UKG1,Trigonelline,1.9450016490630675,0.5165986442573173,132.70031393273945,37.27257967233331,0.014657099078521488,0.00566601488828914
RC078,UKG1,Trimethylamine N-oxide,18.06876343326048,7.122492163934899,132.70031393273945,37.27257967233331,0.1361621754897944,0.0659053984131159
RC078,UKG1,beta-Alaninebetaine,30.541256507149832,12.564655426939295,132.70031393273945,37.27257967233331,0.23015210440745446,0.11464759942724716
RC078,UKH1,Betonicine,0.04666457731294193,0.011676409483068645,63.853927586477916,15.858056017879784,7.308019894272549e-4,2.576398226688587e-4
RC078,UKH1,Dimethylsulfonioacetate,3.423011084237822,0.401325678514792,63.853927586477916,15.858056017879784,0.053606899585025666,0.014722218519903386
RC078,UKH1,Dimethylsulfoniopropionate,8.184829882993036,1.8201027211739054,63.853927586477916,15.858056017879784,0.128180523772923,0.04273007042597534
RC078,UKH1,Glycine betaine,26.490027659526035,2.6480895684060153,63.853927586477916,15.858056017879784,0.4148535362002653,0.11106172989919083
RC078,UKH1,Gonyol,0.5281450629505857,0.2671413460551376,63.853927586477916,15.858056017879784,0.008271144515508687,0.004660711163991784
RC078,UKH1,Homarine,13.394020063413016,2.3638953145655623,63.853927586477916,15.858056017879784,0.20976031654863175,0.06390826445553341
RC078,UKH1,Proline betaine,0.10736886786843501,0.03510629155369293,63.853927586477916,15.858056017879784,0.001681476330849413,6.904010159121672e-4
RC078,UKH1,Trigonelline,0.6659541756649122,0.18032232665022938,63.853927586477916,15.858056017879784,0.010429337721834022,0.0038319145581170097
RC078,UKH1,Trimethylamine N-oxide,5.126364712184725,6.68437482436312,63.853927586477916,15.858056017879784,0.08028268433828202,0.10656410613835435
RC078,UKH1,beta-Alaninebetaine,5.887541500326408,1.446021537114261,63.853927586477916,15.858056017879784,0.09220327899725293,0.03220522235003212
RC078,UKH2,Betonicine,0.1215475349800543,0.016560521021849642,150.45510117789047,20.9695253369565,8.078658285992089e-4,1.5745805684126083e-4
RC078,UKH2,Dimethylsulfonioacetate,5.213666807799282,0.5141701824756819,150.45510117789047,20.9695253369565,0.03465264232972006,0.0059164703173430625
RC078,UKH2,Dimethylsulfoniopropionate,5.976495173052182,1.3022116638974803,150.45510117789047,20.9695253369565,0.03972278192140443,0.010274361532078067
RC078,UKH2,Glycine betaine,50.233656199764354,2.7132301974556388,150.45510117789047,20.9695253369565,0.3338780526980646,0.04990602714758964
RC078,UKH2,Gonyol,4.892604259475945,1.3435336702051839,150.45510117789047,20.9695253369565,0.032518699739473626,0.010014123912817694
RC078,UKH2,Homarine,12.361363970511507,0.374719644005147,150.45510117789047,20.9695253369565,0.08215981959891182,0.011718660374123944
RC078,UKH2,Proline betaine,0.46657127246418295,0.06284475605277155,150.45510117789047,20.9695253369565,0.003101066489680086,6.010616643233118e-4
RC078,UKH2,Trigonelline,3.8437164014320757,0.7427857227088114,150.45510117789047,20.9695253369565,0.02554726540569376,0.006086976451902256
